Var	Rank	Full_name	Par_name	Legend	Units	Org_units	Scale	Shading	Processing	Round
etIrrCrops	23	Evapotranspiration from irrigated Crops	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
etRfdCrops	24	Evapotranspiration from rainfed Crops	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
etNonCrops	25	Evapotranspiration from non-crop land	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
openWaterEvap	26	Evapotranspiration from Rivers, Lakes and Reservoirs	Evaporation	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
soilMoist	27	Soil Moisture Water Equivalent	Soil Moisture	['RainbowRB(0:100)', 'RainbowRB(0:100)', 'RainbowRB(0:100)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
soilMoistChg	28	Soil moisture water equivalent change	Soil Moisture Change	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
soilMoistFrac	29	Soil Moisture Water Equivalent Fraction	Fraction	['DarkBlue(0:1)', 'DarkBlue(0:1)', 'DarkBlue(0:1)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.3f
sMoistGr	30	Green  Water soil moisture water equivalent	Soil Moisture	['RainbowRB(0:100)', 'RainbowRB(0:100)', 'RainbowRB(0:100)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
sMoistBl	31	Blue  Water soil moisture water equivalent	Soil Moisture	['RainbowRB(0:100)', 'RainbowRB(0:100)', 'RainbowRB(0:100)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
GW_ET	32	Green  Water soil evapotranspiration	Evapotranspiration	['RainbowRB(0:100)', 'RainbowRB(0:100)', 'RainbowRB(0:100)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
BW_ET	33	Blue  Water soil evapotranspiration	Evapotranspiration	['RainbowRB(0:100)', 'RainbowRB(0:100)', 'RainbowRB(0:100)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Wheat_1_irrCrop_soilMoistFrac	34	Soil Moisture Fraction for Wheat_1 in irrigated land	Fraction	['DarkBlue(0:1)', 'DarkBlue(0:1)', 'DarkBlue(0:1)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.3f
Maize_1_rfdCrop_soilMoistFrac	35	Soil Moisture Fraction for Maize_1 in rainfed land	Fraction	['DarkBlue(0:1)', 'DarkBlue(0:1)', 'DarkBlue(0:1)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.3f
Maize_2_rfdCrop_soilMoistFrac	36	Soil Moisture Fraction for Maize_2 in ranfed land	Fraction	['DarkBlue(0:1)', 'DarkBlue(0:1)', 'DarkBlue(0:1)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.3f
Soybeans_1_rfdCrop_soilMoistFrac	37	Soil Moisture Fraction for Soybeans_1 in rainfed land	Fraction	['DarkBlue(0:1)', 'DarkBlue(0:1)', 'DarkBlue(0:1)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.3f
Non_rice_crop_irrCrop_PET	38	Potential Evapotranspiration for non-rice irrigated land	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Rfd_crop_rfdCrop_PET	39	Potential Evapotranspiration for rainfed cropland	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
grdWater	40	Groundwater Storage	Storage	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
grdWaterChg	41	Groundwater storage Change	Groundwater Change	['RainbowRB(0:20)', 'RainbowRB(0:20)', 'RainbowRB(0:20)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
grdWaterCrop	42	Groundwater Storage under cropland	Storage	['RainbowRB(1e4:1e9)Log', 'RainbowRB(1e4:1e9)Log', 'RainbowRB(1e4:1e9)Log']	['m3/pixel', 'm3/pixel', 'm3/pixel']	['m3/pixel', 'm3/pixel', 'm3/pixel']	['', '', '']	5:0	noScale:noOffsite	%.2f
GWt_infiltPrecip	43	Infiltration to Groundwater from Precip	Infiltration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Aqf_infiltPrecip	44	Infiltration to Aquifer from Precip	Infiltration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GWt_infiltIrr	45	Infiltration to Groundwater from Irrigation	Infiltration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Aqf_infiltIrr	46	Infiltration to Aquifer from Irrigation	Infiltration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Aqf_Storage	47	Aquifer Groundwater Storage	Storage	['RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
AQF_DryHead_T	48	Dry Head in confining aquifer (ASL)	Head	['RainbowBR(0:3000)', 'RainbowBR(0:3000)', 'RainbowBR(0:3000)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_Head_T	49	Head in confining aquifer (ASL)	Head	['RainbowBR(0:3000)', 'RainbowBR(0:3000)', 'RainbowBR(0:3000)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_Head_B	50	Head in unconfined and confined aquifers (ASL)	Head	['RainbowBR(0:3000)', 'RainbowBR(0:3000)', 'RainbowBR(0:3000)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_H_Depth_T	51	Head depth in confining aquifer	Head	['RainbowRB(-100:0)', 'RainbowRB(-100:0)', 'RainbowRB(-100:0)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_H_Depth_B	52	Head depth in unconfined and confined aquifers	Head	['RainbowRB(-500:0)', 'RainbowRB(-500:0)', 'RainbowRB(-500:0)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_H_Depth	53	Aquifer head depth	Head	['RainbowRB(-500:0)', 'RainbowRB(-500:0)', 'RainbowRB(-500:0)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_H_Delta	54	Head level relative to streams	Head	['RainbowRB(-50:50)', 'RainbowRB(-50:50)', 'RainbowRB(-50:50)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
AQF_Storage_T	55	Storage in confining aquifer	Storage	['RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
AQF_Storage_B	56	Storage in unconfined and confined aquifers	Storage	['RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
AQF_FluxU_T	57	Avg U (E-W) flux in confining aquifer	Flux	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_FluxV_T	58	Avg V (N-S) flux in confining aquifer	Flux	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_FluxU_B	59	Avg U (E-W) flux in unconfined and confined aquifers	Flux	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_FluxV_B	60	Avg V (N-S) flux in unconfined and confined aquifers	Flux	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_Flux_Z	61	Z (down) flux from confining to confined aquifers	Flux	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_DC_T	62	Dry cell mask in confining aquifers	Mask	['DarkRed(0:1)', 'DarkRed(0:1)', 'DarkRed(0:1)']	['unitless', 'unitless', 'unitless']	['unitless', 'unitless', 'unitless']	['', '', '']	5:0		%d
AQF_DC_B	63	Dry cell mask in confined aquifers	Mask	['DarkRed(0:1)', 'DarkRed(0:1)', 'DarkRed(0:1)']	['unitless', 'unitless', 'unitless']	['unitless', 'unitless', 'unitless']	['', '', '']	5:0		%d
AQF_RIV_dsch	64	Aquifer discharge to surface streams	Discharge	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
AQF_RIV_rech	65	Aquifer recharge from surface streams	Recharge	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	noScale:noOffsite	%.1f
UGW	66	Accumulated Unsustainable groundwater use	UGW	['RainbowRB(-1000:0)', 'RainbowRB(-10000:0)', 'RainbowRB(-100000:0)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
resStorage	67	Reservoir Storage	Storage	['RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log']	['mln m3', 'mln m3', 'mln m3']	['m3', 'm3', 'm3']	[1e-6, 1e-6, 1e-6]	5:0	log:zero	%.2f
surfRffStorage	68	Surface runoff storage	Storage	['RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
irrRffStorage	69	Irrigation runoff storage	Storage	['RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log', 'RainbowRB(0.001:100)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
total_mass	70	Total water mass	Storage	['RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log', 'RainbowRB(10:1e6)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0	log:zero	%.2f
endoStrg	71	Endorheic lakes water storage	Storage	['Rainbow(0.001:100)Log', 'Rainbow(0.001:100)Log', 'Rainbow(0.001:100)Log']	['mln m3/pixel', 'mln m3/pixel', 'mln m3/pixel']	['m3', 'm3', 'm3']	[1e-6, 1e-6, 1e-6]	5:0	log:zero	%.2f
endoArea	72	Endorheic lakes area	Area	['Rainbow(1:1e4)Log', 'Rainbow(1:1e4)Log', 'Rainbow(1:1e4)Log']	['km2/pixel', 'km2/pixel', 'km2/pixel']	['km2/pixel', 'km2/pixel', 'km2/pixel']	['', '', '']	5:0	noScale:noOffsite	%.2f
endoEvap	73	Endorheic lakes water evaporation	Evaporation	['Rainbow(1:1e4)Log', 'Rainbow(1:1e4)Log', 'Rainbow(1:1e4)Log']	['m3/pixel/day', 'm3/pixel/day', 'm3/pixel/day']	['m3/pixel/day', 'm3/pixel/day', 'm3/pixel/day']	['', '', '']	5:0	noScale:noOffsite	%.1f
Wetland_runoff	74	Upland wetland runoff	Runoff	['DarkBlue(0:20)', 'DarkBlue(0:100)', 'DarkBlue(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
Wetland_storage	75	Upland wetland storage	Storage	['Rainbow(0.001:100)Log', 'Rainbow(0.001:100)Log', 'Rainbow(0.001:100)Log']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
domesticDemand	76	Domestic Water Demand	Domestic Water Demand	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseGross	77	Domestic water gross withdrawal	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseEvap	78	Domestic water evaporation component	Domestic Water Evaporation	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseSfWt	79	Domestic water withdrawal from surface water	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseGrWt	80	Domestic water withdrawal from all groundwater types	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseLoc	81	Domestic local surface withdrawal	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseRmt	82	Domestic remote surface withdrawal	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domFlowOrig	83	Origin of remote domestic water	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseProvX	84	Origin of remote domestic water, X	Column	['Rainbow(0:2000)', 'Rainbow(0:2000)', 'Rainbow(0:2000)']	['col', 'col', 'col']	['col', 'col', 'col']	['', '', '']	5:0		%d
domUseProvY	85	Origin of remote domestic water, Y	Row	['Rainbow(0:2000)', 'Rainbow(0:2000)', 'Rainbow(0:2000)']	['col', 'col', 'col']	['col', 'col', 'col']	['', '', '']	5:0		%d
domUseSGW	73	Domestic water withdrawal from shallow groundwater	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
domUseAqf	74	Domestic water withdrawal from aquifer	Domestic Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
industryDemand	75	Industrial Water Demand	Industrial Water Demand	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseGross	76	Industrial water gross withdrawal	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseEvap	77	Industrial water evaporation component	Industrial Water Evaporation	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseSfWt	78	Industrial water withdrawal from surface water	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseGrWt	79	Industrial water withdrawal from all groundwater types	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseLoc	80	Industrial local surface withdrawal	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseRmt	81	Industrial remote surface withdrawal	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indFlowOrig	82	Origin of remote industrial water	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseProvX	83	Origin of remote industrial water, X	Column	['Rainbow(0:2000)', 'Rainbow(0:2000)', 'Rainbow(0:2000)']	['col', 'col', 'col']	['col', 'col', 'col']	['', '', '']	5:0		%d
indUseProvY	84	Origin of remote industrial water, Y	Row	['Rainbow(0:2000)', 'Rainbow(0:2000)', 'Rainbow(0:2000)']	['col', 'col', 'col']	['col', 'col', 'col']	['', '', '']	5:0		%d
indUseSGW	83	Industrial water withdrawal from shallow groundwater	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
indUseAqf	84	Industrial water withdrawal from aquifer	Industrial Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
livestockDemand	85	Livestock Water Demand	Livestock Water Demand	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
stkUseGross	86	Livestock water gross withdrawal	Livestock Water Withdrawal	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
stkUseEvap	87	Livestock water evaporation component	Livestock Water Evaporation	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
